"Verify your account","Verify your account","{{user_first_name}},{{user_last_name}},{{user_email_address}},{{url_email_validation}}",0,,,"<b>Sending conditions:</b>Sent as a ‘double opt in’ email when any account is created. Confirms that the email address is valid",0
"Welcome to your account","Welcome to your account","{{user_first_name}},{{user_last_name}},{{user_email_address}},{{url_account_dashboard}}",0,,,"<b>Sending conditions:</b>Once any new account is verified this is the confirmation email sent to the user",0
"Ad is received / live - Free Ad","Ad is received / live - Free Ad","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{url_account_dashboard}},{{url_ad_preview}},{{url_ad_edit}},{{url_ad_upsell}}",0,,,"<b>Sending conditions:</b>Sent to a user when they submit a free advert",1
"Ad is received / live - Go Urgent","Ad is received / live - Go Urgent","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{url_account_dashboard}},{{url_ad_preview}},{{url_ad_edit}},{{url_ad_upsell}}",0,,,"<b>Sending conditions:</b>Sent to a user when they submit a Go Urgent advert",1
"Ad is received / live - Get on Top","Ad is received / live - Get on Top","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{url_account_dashboard}},{{url_ad_preview}},{{url_ad_edit}},{{url_ad_upsell}}",0,,,"<b>Sending conditions:</b>Sent to a private user when they submit a Get on Top advert",1
"Ad is received / live - Go Premium","Ad is received / live - Go Premium","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{url_account_dashboard}},{{url_ad_preview}},{{url_ad_edit}},{{url_ad_upsell}}",0,,,"<b>Sending conditions:</b>Sent to a Go Premium user when they submit an advert",1
"Ad is received / live - Get in Print","Ad is received / live - Get in Print","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{url_account_dashboard}},{{url_ad_preview}},{{url_ad_edit}},{{url_ad_upsell}}",0,,,"<b>Sending conditions:</b>Sent to a user when they submit a Get in Print advert",1
"Ad is received / live - Go Premium Print","Ad is received / live - Go Premium Print","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{url_account_dashboard}},{{url_ad_preview}},{{url_ad_edit}},{{url_ad_upsell}}",0,,,"<b>Sending conditions:</b>Sent to a user when they submit a Go Premium Print advert",1
"Ad is rejected","Ad is rejected","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{text_rejection_message}},{{url_account_dashboard}}",0,,,"<b>Sending conditions:</b>Sent to a user when their advert is rejected by content moderation.We need to be able to display different text for the various reasons for rejection.",0
"Ad abandoned","Ad abandoned","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_edit_incomplete_advert}}",0,,,"<b>Sending conditions:</b>Sent to a non registered user if we have captured their email address, and they have started but not completed posting an advert. Also sent to existing users when they have started but not completed posting an advert",0
"Ad refresh / upsell 7 days","Ad refresh / upsell 7 days","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{text_ad_views}},{{text_ad_enquiries}},{{url_ad_upsell}},{{url_ad_edit}},{{url_ad_mark_sold}},{{url_ad_view}},{{url_turn_off_alert}},{{url_account_dashboard}},{{manual_refresh_url}}",1,"adverts_is_x_days_old",7,"<b>Sending conditions:</b>Sent to a private or trade seller when any one of their adverts is 7(X) days old and advert had ‘FREE’ package (‘free’ doesn’t contain automated weekly refresh upsell).",0
"Ad refresh / upsell 14 days","Ad refresh / upsell 14 days","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{text_ad_views}},{{text_ad_enquiries}} - number of enquiries received so far by the seller,{{url_ad_upsell}},{{url_ad_edit}},{{url_ad_mark_sold}},{{url_ad_view}},{{url_turn_off_alert}},{{url_account_dashboard}},{{manual_refresh_url}}",1,"adverts_is_x_days_old",14,"<b>Sending conditions:</b>Sent to a private or trade seller when any one of their adverts is 14(X) days old and advert had ‘FREE’ package (‘free’ doesn’t contain automated weekly refresh upsell).",0
"Ad refresh / upsell 21 days","Ad refresh / upsell 21 days","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{text_ad_views}},{{text_ad_enquiries}},{{url_ad_upsell}},{{url_ad_edit}},{{url_ad_mark_sold}},{{url_ad_view}},{{url_turn_off_alert}},{{url_account_dashboard}},{{manual_refresh_url}}",1,"adverts_is_x_days_old",21,"<b>Sending conditions:</b>Sent to a private or trade seller when any one of their adverts is 21(X) days old and advert had ‘FREE’ package (‘free’ doesn’t contain automated weekly refresh upsell).",0
"Confirmation of upsell purchase","Confirmation of upsell purchase","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{url_ad_edit}},{{url_ad_view}},{{url_account_dashboard}},{{text_upsell_description}},{{text_total_cost}}",0,,,"<b>Sending conditions:</b>Sent to a private or trade seller when any upsell is purchased.",0
"Confirmation of ad refreshing","Confirmation of ad refreshing","{{user_first_name}},{{user_last_name}},{{url_account_dashboard}},{{url_turn_off_alert}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{url_ad_edit}},{{url_ad_view}}",0,,,"<b>Sending conditions:</b>Sent to a private or trade seller when any they refresh an advert or multiply adverts.If they have refreshed multiple ads then this can contain",0
"Your accurate valuation is here","Your accurate valuation is here","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{url_ad_edit}},{{url_ad_view}},{{url_account_dashboard}},{{text_valuation}},{{text_valuation_description}}",0,,,"<b>Sending conditions:</b>Sent to a seller who has purchased an accurate valuation of their item (vehicle) when the valuation is returned from 3rd party service.",0
"Print your ad upsell","Print your ad upsell","{{user_first_name}},{{user_last_name}},{{text_ad_title}},{{text_ad_category}},{{text_ad_description}},{{url_ad_main_photo}},{{text_ad_views}},{{text_ad_enquiries}},{{url_ad_print_upsell}},{{url_ad_edit}},{{url_ad_mark_sold}},{{url_ad_view}},{{url_account_dashboard}},{{url_turn_off_alert}}",0,,,"Sent at Monday 9am to anyone with a live advert which has not already been booked into a print product and is within the print location group.",0
